Instanță,Cost Total
small_instance_01,9274
small_instance_02,5788
small_instance_03,5406
small_instance_04,9778
small_instance_05,13014
small_instance_06,10737
small_instance_07,5663
small_instance_08,9416
small_instance_09,3033
small_instance_10,7048
small_instance_11,8097
small_instance_12,9089
small_instance_13,8521
small_instance_14,10429
small_instance_15,10575
small_instance_16,10693
small_instance_17,9250
small_instance_18,10637
small_instance_19,7284
small_instance_20,10247
small_instance_21,18230
small_instance_22,12703
small_instance_23,4575
small_instance_24,12922
small_instance_25,7398
medium_instance_01,47213
medium_instance_02,51600
medium_instance_03,54096
medium_instance_04,48250
medium_instance_05,52123
medium_instance_06,59077
medium_instance_07,45810
medium_instance_08,48171
medium_instance_09,37713
medium_instance_10,51716
medium_instance_11,50138
medium_instance_12,47175
medium_instance_13,46927
medium_instance_14,55794
medium_instance_15,46248
medium_instance_16,52588
medium_instance_17,47307
medium_instance_18,61278
medium_instance_19,59855
medium_instance_20,46193
medium_instance_21,43243
medium_instance_22,54041
medium_instance_23,44376
medium_instance_24,48687
medium_instance_25,50204
large_instance_01,154736
large_instance_02,164339
large_instance_03,170602
large_instance_04,148124
large_instance_05,157297
large_instance_06,164447
large_instance_07,159365
large_instance_08,174899
large_instance_09,157174
large_instance_10,137281
large_instance_11,151137
large_instance_12,172201
large_instance_13,156724
large_instance_14,165250
large_instance_15,161102
large_instance_16,177057
large_instance_17,164258
large_instance_18,195310
large_instance_19,157232
large_instance_20,161982
large_instance_21,151304
large_instance_22,144772
large_instance_23,146672
large_instance_24,166085
large_instance_25,152838
